Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),lignin
105.0,8.3,9.85,159.0,274.0,1.57,0.01134
76.5,8.3,6.85,112.0,317.5,0.97,0.0169295
107.5,13.55,10.85,158.0,325.5,2.095,0.02406975
122.0,15.2,15.6,158.5,386.0,2.21,0.0317955
-1.0,9.25,-1.0,158.5,377.0,2.15,0.02471
-1.0,5.3,-1.0,158.0,390.0,2.53,0.039501
-1.0,6.55,-1.0,156.5,292.5,2.675,0.0247285
97.0,14.7,13.9,135.0,382.5,3.19,0.022077
100.5,14.25,14.15,150.5,346.5,2.695,0.03150375
94.5,13.65,13.3,138.0,347.5,2.333,0.0187995
94.5,12.1,13.7,146.0,357.5,2.105,0.0244655
105.0,14.5,11.7,155.5,382.0,3.15,0.08283275
93.0,17.55,15.4,154.5,341.5,2.703,0.023124
69.0,7.5,6.6,112.0,173.0,0.84,0.011571
84.0,9.3,7.1,135.0,97.0,0.435,0.00439725
75.0,5.8,9.2,104.0,191.0,0.37,0.0132645
86.5,12.05,9.9,124.5,269.5,1.86,0.01190825
69.0,13.75,11.35,118.5,159.5,1.068,0.008325
88.5,7.05,7.0,118.5,113.5,0.823,0.0080975
73.0,3.3,12.1,108.0,198.5,0.948,0.01426225
71.0,9.8,13.35,117.0,176.0,0.873,0.009162
70.0,13.5,9.25,104.0,195.0,0.62,0.011084
94.5,12.05,14.65,146.5,332.5,1.895,0.0234945
