Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),c6
77.0,9.9,10.55,117.0,121.0,1.015,0.0554125
76.0,10.15,10.35,127.5,140.5,0.9,0.06097325
82.0,6.9,7.6,134.0,89.5,0.275,0.0349245
76.5,6.25,5.65,104.0,162.5,1.028,0.0679715
85.5,10.55,9.6,110.5,183.5,0.283,0.028101
78.5,9.2,5.15,118.5,101.0,0.575,0.0517545
72.0,8.0,8.3,112.0,62.0,0.855,0.048612
70.0,13.2,13.45,104.0,187.0,1.22,0.03959975
75.0,5.9,7.35,108.0,101.5,0.613,0.04926225
80.0,12.1,9.4,118.5,146.0,0.925,0.04277
69.0,14.0,11.85,104.0,206.0,1.408,0.0632145
72.5,10.65,11.75,104.0,152.5,1.835,0.045654
69.0,5.35,7.1,108.0,249.0,0.535,0.061419
68.0,3.95,8.9,104.0,140.5,0.61,0.060146
69.0,7.0,9.35,104.0,137.5,0.618,0.0414345
74.5,4.85,9.45,110.5,172.0,0.845,0.0495145
89.0,9.75,8.35,125.0,300.0,0.32,0.07973
105.0,10.65,11.45,159.0,467.0,1.795,0.19458
-1.0,13.2,-1.0,156.0,504.0,6.013,0.35140725
-1.0,8.65,-1.0,158.0,407.5,3.095,0.173315
-1.0,7.75,-1.0,158.5,370.0,1.458,0.145495
-1.0,7.3,-1.0,159.5,375.5,2.618,0.16782625
-1.0,7.3,-1.0,156.5,293.0,2.433,0.1321125
-1.0,6.5,-1.0,156.0,273.0,2.198,0.14892
-1.0,6.0,-1.0,158.5,356.5,1.928,0.12902575
-1.0,5.55,-1.0,154.0,359.0,2.34,0.1558095
-1.0,6.0,-1.0,157.5,372.5,2.218,0.094325
-1.0,6.25,-1.0,156.0,362.0,3.238,0.15725025
-1.0,6.55,-1.0,158.5,385.5,2.363,0.130355
-1.0,6.6,-1.0,159.0,390.5,2.075,0.127332
-1.0,6.35,-1.0,157.0,296.5,2.1,0.08961975
-1.0,5.2,-1.0,157.0,271.5,2.163,0.07777
-1.0,8.3,-1.0,158.0,433.0,3.528,0.2553
-1.0,6.6,-1.0,156.0,350.5,1.925,0.13936
-1.0,6.05,-1.0,159.5,337.5,2.178,0.134742
-1.0,6.9,-1.0,158.5,364.0,1.815,0.149544
-1.0,6.25,-1.0,159.5,356.0,2.645,0.16668
110.0,10.7,10.5,158.0,296.5,1.858,0.14098125
-1.0,9.7,-1.0,155.0,411.0,2.275,0.1973995
134.0,8.55,-1.0,155.5,326.0,2.993,0.24726375
124.0,12.6,13.3,157.5,281.5,2.315,0.10328175
-1.0,11.38,-1.0,155.0,460.0,5.8,0.319515
