SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,accession_photoperiod,accession_type,accession_origin,accession_race,NEM_OARDC
80.0,78.0,94.0,0.41,0.35,0.26,18.0,21.0,19.0,0.35177,0.057339,0.077208,0.11754,0.46843,-1.0,1.1053,-1.0,84.0,7.11805216802,19.3333333333,1.24721912892,1.0,2.0,0.0,0.0,53.68
128.0,138.0,124.0,0.22,0.17,0.15,10.0,9.0,9.0,0.55719,0.041535,0.048558,0.16602,0.60501,-1.0,4.486,-1.0,130.0,5.88784057755,9.33333333333,0.471404520791,1.0,3.0,15.0,4.0,53.26
154.0,149.0,158.0,0.28,0.21,0.2,14.0,16.0,17.0,0.25609,0.037898,0.062287,0.22929,0.56461,-1.0,3.145,-1.0,153.666666667,3.68178700573,15.6666666667,1.24721912892,1.0,3.0,26.0,0.0,52.14
94.0,103.0,104.0,0.2,0.08,0.05,18.0,21.0,17.0,0.53058,0.065825,0.076347,0.29333,0.7881,-1.0,27.6882,-1.0,100.333333333,4.49691252108,18.6666666667,1.6996731712,1.0,2.0,0.0,0.0,45.99
214.0,215.0,217.0,0.82,0.59,0.57,40.0,42.0,41.0,0.2901,0.051087,0.057192,0.16515,0.98368,-1.0,26.697,-1.0,215.333333333,1.24721912892,41.0,0.816496580928,0.0,0.0,0.0,0.0,46.13
116.0,119.0,131.0,0.49,0.42,0.38,23.0,20.0,19.0,0.61465,0.053799,0.050494,0.22313,0.64487,-1.0,6.8828,-1.0,122.0,6.48074069841,20.6666666667,1.6996731712,1.0,2.0,25.0,12.0,59.57
229.0,233.0,221.0,1.35,1.27,1.04,25.0,24.0,23.0,0.98017,0.040373,0.046189,0.16014,0.20227,-1.0,59.6752,52.0167,227.666666667,4.9888765157,24.0,0.816496580928,1.0,1.0,31.0,0.0,56.31
140.0,146.0,136.0,0.38,0.34,0.3,18.0,18.0,15.0,0.57169,0.035593,0.06802,0.1795,0.27881,-1.0,3.2697,30.2334,140.666666667,4.10960933531,17.0,1.41421356237,1.0,3.0,14.0,11.0,57.07
183.0,190.0,182.0,0.77,0.65,0.63,33.0,30.0,31.0,0.60312,0.035738,0.052494,0.093902,0.47673,-1.0,6.1457,25.3552,185.0,3.55902608401,31.3333333333,1.24721912892,1.0,3.0,0.0,0.0,54.88
185.0,165.0,158.0,0.82,0.77,0.73,18.0,15.0,16.0,0.64674,0.034666,0.07285,0.21464,0.2223,-1.0,28.8256,35.5108,169.333333333,11.4406682012,16.3333333333,1.24721912892,1.0,1.0,0.0,0.0,61.98
261.0,261.0,277.0,2.27,2.17,1.91,26.0,21.0,23.0,0.68841,0.051743,0.066978,0.11741,0.40257,-1.0,47.5716,55.9628,266.333333333,7.54247233266,23.3333333333,2.05480466766,1.0,1.0,28.0,0.0,60.56
234.0,194.0,240.0,0.84,0.62,0.57,48.0,46.0,39.0,0.50111,0.046226,0.069132,0.068229,0.28642,-1.0,37.3226,47.8291,222.666666667,20.4178571082,44.3333333333,3.85861230093,0.0,0.0,0.0,0.0,46.17
183.0,184.0,157.0,0.73,0.62,0.6,23.0,24.0,25.0,0.64919,0.051326,0.071213,0.13172,0.23744,-1.0,25.1268,20.4903,174.666666667,12.4988888395,24.0,0.816496580928,1.0,3.0,0.0,0.0,63.69
280.0,277.0,283.0,1.44,1.39,1.29,22.0,21.0,19.0,0.8344,0.030932,0.072141,0.239,0.27656,-1.0,40.0431,66.1361,280.0,2.44948974278,20.6666666667,1.24721912892,1.0,3.0,0.0,0.0,63.96
216.0,187.0,197.0,0.65,0.6,0.54,17.0,15.0,16.0,0.7255,0.038988,0.070845,0.33778,0.49948,-1.0,43.8282,55.8551,200.0,12.0277457018,16.0,0.816496580928,1.0,3.0,35.0,0.0,58.39
202.0,207.0,217.0,0.52,0.44,0.4,23.0,22.0,26.0,0.17474,0.031989,0.039761,0.20033,0.39409,-1.0,36.2324,50.4997,208.666666667,6.23609564462,23.6666666667,1.6996731712,1.0,1.0,25.0,0.0,51.85
250.0,245.0,249.0,1.27,1.22,1.15,21.0,20.0,18.0,0.86779,0.041555,0.073721,0.1075,0.31154,-1.0,54.3766,55.659,248.0,2.16024689947,19.6666666667,1.24721912892,1.0,3.0,0.0,0.0,53.31
239.0,253.0,233.0,0.69,0.64,0.58,23.0,23.0,19.0,0.99554,0.035159,0.070478,0.15244,0.25121,-1.0,35.4882,54.3778,241.666666667,8.37987005998,21.6666666667,1.88561808316,1.0,3.0,8.0,0.0,54.38
277.0,282.0,266.0,2.06,1.99,1.86,21.0,24.0,17.0,0.5345,0.11091,0.071832,0.29087,0.36212,-1.0,40.0831,26.5457,275.0,6.68331255192,20.6666666667,2.86744175568,1.0,3.0,25.0,2.0,56.69
210.0,217.0,219.0,1.06,0.92,0.9,21.0,24.0,27.0,0.39334,0.054127,0.059265,0.16265,0.40552,-1.0,27.8553,40.8237,215.333333333,3.85861230093,24.0,2.44948974278,1.0,3.0,31.0,3.0,64.77
102.0,105.0,121.0,0.37,0.29,0.22,25.0,27.0,22.0,0.16982,0.040416,0.056135,0.21016,0.19436,-1.0,16.297,20.9951,109.333333333,8.33999733546,24.6666666667,2.05480466766,1.0,1.0,4.0,0.0,60.67
213.0,220.0,231.0,0.33,0.27,0.23,23.0,22.0,26.0,0.58217,0.041258,0.051304,0.25958,0.33318,-1.0,39.1512,45.7622,221.333333333,7.4087035903,23.6666666667,1.6996731712,1.0,1.0,19.0,0.0,54.89
209.0,195.0,192.0,0.68,0.62,0.55,18.0,19.0,21.0,0.47049,0.059579,0.071761,0.19077,0.2909,-1.0,32.1591,41.0956,198.666666667,7.4087035903,19.3333333333,1.24721912892,1.0,2.0,0.0,0.0,51.33
289.0,288.0,268.0,1.77,1.74,1.56,13.0,14.0,13.0,0.86737,0.047166,0.079687,0.18578,0.36702,-1.0,43.1993,66.3592,281.666666667,9.6724120857,13.3333333333,0.471404520791,1.0,3.0,0.0,0.0,58.94
231.0,228.0,226.0,1.14,1.05,1.03,20.0,21.0,20.0,0.46809,0.064895,0.05793,0.2003,0.52249,-1.0,50.1306,30.1191,228.333333333,2.05480466766,20.3333333333,0.471404520791,1.0,3.0,8.0,12.0,62.96
247.0,239.0,233.0,0.62,0.55,0.48,24.0,24.0,21.0,0.1412,0.030391,0.062472,0.24318,0.56304,-1.0,51.751,47.4452,239.666666667,5.73488351136,23.0,1.41421356237,1.0,3.0,0.0,0.0,56.68
316.0,295.0,305.0,1.41,1.37,1.27,19.0,17.0,22.0,0.96949,0.035632,0.067071,0.20584,0.38235,-1.0,45.9913,50.3622,305.333333333,8.57645355351,19.3333333333,2.05480466766,1.0,3.0,0.0,0.0,62.45
230.0,225.0,216.0,0.61,0.46,0.39,40.0,42.0,40.0,0.45467,0.090598,0.05056,0.18347,0.39427,-1.0,41.8499,33.7837,223.666666667,5.79271573233,40.6666666667,0.942809041582,0.0,0.0,0.0,0.0,44.06
218.0,209.0,214.0,0.75,0.74,0.72,21.0,21.0,21.0,0.88498,0.040487,0.083953,0.14699,0.32456,-1.0,49.5177,35.5236,213.666666667,3.68178700573,21.0,0.0,1.0,3.0,0.0,0.0,59.86
212.0,204.0,210.0,0.98,0.93,0.87,9.0,10.0,9.0,0.42702,-1.0,0.060458,0.20722,0.50909,-1.0,43.3954,40.2109,208.666666667,3.3993463424,9.33333333333,0.471404520791,1.0,3.0,15.0,0.0,64.68
217.0,206.0,218.0,1.21,-1.0,1.07,-1.0,-1.0,-1.0,0.058314,-1.0,0.081422,0.12734,0.47827,-1.0,54.2879,53.7337,213.666666667,5.43650214343,-1.0,-1.0,1.0,3.0,26.0,0.0,58.42
