SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,SYNTHETIC_HGT,SYNTHETIC_PAN,Crude_protein
1.08,-1.0,0.9,0.28461,0.0467,0.057663,0.27247,0.27739,-1.0,30.0901,26.8632,340694.664375,3832770.335,1.0,3.0,26.0,0.0,244.0,-1.0,6.16
0.42,0.37,0.33,0.99757,0.029884,0.067749,0.2516,0.28421,-1.0,8.5379,37.425,340696.157125,3832774.54625,1.0,3.0,0.0,0.0,167.333333333,18.6666666667,3.62
1.95,1.92,1.75,0.48278,0.033069,0.048037,0.10295,0.48016,-1.0,18.4494,35.6091,340697.63675,3832778.7225,1.0,3.0,0.0,0.0,316.666666667,18.0,3.84
0.46,0.39,0.33,0.99786,0.029251,0.032588,0.19991,0.53117,-1.0,21.815,-1.0,340699.155375,3832783.0125,1.0,1.0,26.0,2.0,197.333333333,14.3333333333,8.06
0.22,0.19,0.16,-1.0,0.047031,0.038722,0.2125,0.7109,16.7833,-1.0,17.8748,340649.202375,3832650.48125,1.0,3.0,8.0,16.0,176.0,22.6666666667,4.37
1.18,1.15,1.06,-1.0,0.025675,0.077824,0.29978,0.53387,14.6206,-1.0,57.029,340650.703625,3832654.72,1.0,3.0,2.0,3.0,258.0,17.6666666667,4.75
0.35,0.3,0.29,-1.0,0.028505,0.075397,0.26124,0.44191,14.7447,-1.0,23.609,340652.245375,3832659.07375,1.0,3.0,0.0,0.0,145.0,17.6666666667,5.58
1.29,1.25,1.1,-1.0,0.027656,0.09946,0.26604,0.50022,23.5447,-1.0,70.8234,340655.347125,3832667.5675,1.0,3.0,0.0,0.0,287.0,23.3333333333,5.77
1.21,0.97,0.87,-1.0,0.025901,0.0677,0.25431,0.29919,12.5231,-1.0,39.0804,340656.876125,3832671.8875,0.0,0.0,0.0,0.0,242.666666667,44.6666666667,4.06
0.55,0.5,0.45,-1.0,0.025572,0.074379,0.19075,0.22108,4.0461,-1.0,42.837,340658.415125,3832676.2375,1.0,3.0,8.0,13.0,196.0,24.6666666667,7.65
0.5,0.43,0.38,-1.0,0.026104,0.065978,0.32957,0.50682,17.3366,-1.0,59.721,340661.513,3832685.0,1.0,1.0,18.0,9.0,241.666666667,29.6666666667,3.53
1.22,1.13,1.08,-1.0,0.025374,0.063464,0.40059,0.57801,19.2373,-1.0,52.0256,340663.015375,3832689.24125,1.0,3.0,0.0,0.0,243.666666667,21.0,5.94
2.28,2.19,1.96,-1.0,0.027197,0.034441,0.10329,0.10388,1.5569,-1.0,14.7937,340666.073875,3832697.88625,1.0,3.0,25.0,0.0,271.333333333,32.0,3.84
0.93,0.88,0.73,-1.0,0.087669,0.066156,0.3706,0.45608,21.0006,-1.0,62.4328,340667.573625,3832702.12625,1.0,3.0,26.0,2.0,188.0,16.6666666667,4.65
0.73,0.67,0.64,-1.0,0.029596,0.079138,0.32878,0.34945,15.1893,-1.0,42.877,340668.995,3832706.14,1.0,3.0,0.0,0.0,230.333333333,23.3333333333,4.53
1.7,1.66,1.5,-1.0,0.094259,0.073168,0.30438,0.72293,12.695,-1.0,70.9437,340670.54075,3832710.51,1.0,3.0,0.0,0.0,284.333333333,16.6666666667,5.01
1.0,0.93,0.87,-1.0,0.022241,0.079645,0.25261,0.54129,14.9563,-1.0,55.5846,340672.093875,3832714.9025,1.0,3.0,31.0,3.0,216.0,21.0,3.89
0.52,0.35,0.32,-1.0,0.034061,0.04885,0.22341,0.53882,19.8263,-1.0,36.0411,340673.630375,3832719.24625,1.0,1.0,32.0,12.0,165.666666667,29.0,6.04
1.67,1.61,1.52,-1.0,0.022844,0.064525,0.30016,0.40188,15.7823,-1.0,57.4321,340675.140625,3832723.51375,1.0,3.0,0.0,0.0,222.0,16.0,3.16
0.77,0.69,0.67,-1.0,0.026378,0.068911,0.26245,0.36509,9.6076,-1.0,22.4069,340676.64525,3832727.7675,1.0,3.0,25.0,3.0,200.333333333,21.0,6.41
