feature_name,row,range,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,ADF,AD_ICP,Adj_CP,aNDFom,Ash,Crude_protein,DCAD,Dry_Matter,EE_Fat,Lignin,NEG_OARDC,NEL3x_ADF,NEL3x_OARDC,NEM_OARDC,NFC,SPCP,Starch,TDN_OARDC,WSC_Sugar,Cellulose,Hemicellulose
SF16h_HGT_120_STD,-0.109693438745,-0.061623516508,0.0547195762422,-0.0797649908793,0.106457979922,0.0226349508232,0.102632367241,0.141661492229,0.127214737223,0.0914174659701,0.135562835553,0.174316192044,0.446430800098,0.456645954921,0.43323894726,0.493331737216,0.0171524050451,0.495676817906,-0.000380931389883,-0.00789070920477,6.63927249592e-05,0.449121511246,1.0,-0.00274922211414,0.0309872274624,0.386772313724,0.389078322379,0.2115856593,0.412260149558,0.346558844682,0.212583590598,0.317269374239,0.436110196347,0.399692121235,0.44174992844,0.368647162654,0.38498270093,0.420795933912,0.394680603411,0.372141664965,0.155846423711,0.338073604491,0.402734389463,0.308937913095,0.360776508842,0.429333186677
SF16h_PAN_120_MEAN,-0.113387679311,-0.058888185867,0.058538565185,-0.076395637673,-0.137533427001,0.0120714961817,0.0830094420343,-0.146875857861,0.0456862506711,0.0545942739761,0.0173030693769,-0.00451913414964,0.448464718877,0.449806648829,0.450512389147,0.0154850481118,0.872193653263,0.0196382800359,0.995207610057,0.99581895506,0.994731761125,0.453312935492,-0.00274922211414,1.0,0.893049833229,0.16133422294,0.200113226441,-0.24349494451,0.16736314596,0.217836379986,-0.288887146294,0.203753328208,0.180875806329,0.129207397113,0.331948785557,0.0578593199962,0.125027128453,0.145305787754,0.104031072524,0.272698802674,-0.468521920502,0.0946340871913,0.102959382067,0.301946006131,0.120918056579,0.151214589534
SF16h_PAN_120_STD,-0.0679415728984,-0.0609861593437,0.0203489333104,-0.0708024172606,-0.150637090313,-0.0158801179307,0.0503058223022,-0.177470282092,-0.00176309522052,0.0730611489706,0.00979183669565,-0.0262899941983,0.409769425444,0.411533795476,0.40479366806,0.00165927255365,0.820541061411,0.00929527911088,0.906233110154,0.885345423771,0.874242409129,0.412075403034,0.0309872274624,0.893049833229,1.0,0.140212188078,0.181752540436,-0.221331349117,0.150902532018,0.200914377374,-0.261058955321,0.203799467721,0.170795996817,0.120617574482,0.3033131267,0.0681147445891,0.119602318196,0.143517085426,0.108246475876,0.271891783631,-0.41507208844,0.0948122848313,0.102298050822,0.294670694902,0.102514430402,0.143000071465
ADF,-0.221614690808,0.0157851108627,0.189691744445,-0.0223508755562,0.222992085311,0.102541468048,0.151145258453,0.290677827134,0.210530709595,0.0147886738952,0.191189658607,0.193777081879,0.471614651577,0.469559368906,0.470123107149,0.673629104442,0.0661598000808,0.679900009195,0.161686210226,0.158877225169,0.161130538586,0.474317603057,0.386772313724,0.16133422294,0.140212188078,1.0,0.962698280805,0.759673155157,0.990307314791,0.674900200622,0.679822539604,0.356001430612,0.929157055482,0.955585227235,0.811520653624,0.780827124682,0.925575110971,0.87274460179,0.83717855961,0.497996258107,0.340335818391,0.656954467878,0.900966604446,0.378521260209,0.993616979479,0.944563959812
AD_ICP,-0.190226321277,0.0388371267073,0.177114203577,0.00579808982703,0.224187859714,0.101479297151,0.157974633112,0.241322388162,0.206010240936,0.0119025531545,0.175818073084,0.204096560898,0.504280370793,0.50008781089,0.501044240554,0.704105453432,0.162213356421,0.71699594245,0.198484765428,0.199538731562,0.199487583076,0.505945584841,0.389078322379,0.200113226441,0.181752540436,0.962698280805,1.0,0.762823249235,0.976486142257,0.721026720315,0.712547322656,0.426260252013,0.979604532765,0.989802590292,0.82447501801,0.892509300358,0.968936864979,0.953899723022,0.934708736466,0.66675300622,0.385432616279,0.774980821918,0.963067247211,0.565067111143,0.950316886955,0.969984952229
Adj_CP,-0.0625573209248,0.0992124518546,0.107387304788,0.0864824651365,0.270866083369,0.0926591177784,0.0348407351579,0.276627609434,0.0719533775224,-0.112506357215,0.103760334192,0.0518294150291,-0.023803881645,-0.0260062120703,-0.0224284877353,0.427075112011,-0.282624694499,0.43393584448,-0.24176883528,-0.243266534914,-0.241988949137,-0.0242797551734,0.2115856593,-0.24349494451,-0.221331349117,0.759673155157,0.762823249235,1.0,0.748977664333,0.380746199062,0.946917826499,0.13328303646,0.70730145068,0.790623860492,0.375924924996,0.750806553045,0.78048427197,0.714263041656,0.745098795716,0.255649519671,0.703441741503,0.604540351706,0.775823201641,0.154132617702,0.803111819911,0.726159852574
aNDFom,-0.207946824828,0.0116575431608,0.176236432855,-0.0241298349254,0.231227315526,0.0982082561996,0.150759117403,0.273559190525,0.214261227094,0.0231526401735,0.193483066996,0.212883805183,0.509370910653,0.507815198027,0.507083811269,0.707965718763,0.0934257792607,0.716243823676,0.167379125771,0.165727037153,0.166585066782,0.512286414389,0.412260149558,0.16736314596,0.150902532018,0.990307314791,0.976486142257,0.748977664333,1.0,0.723683770434,0.683948544473,0.453417595698,0.961703970823,0.976094244307,0.840360603174,0.825364807017,0.948025997656,0.913980173529,0.879010091671,0.575473336547,0.363783505819,0.684304127594,0.933210934978,0.448135035326,0.977804377891,0.97922818512
Ash,-0.129705989587,-0.148572684731,0.0216808644891,-0.16906587684,0.181532311277,0.0322172294973,0.143731508627,0.140291177195,0.174620370157,0.0809694068292,0.1776645354,0.210306615807,0.482042376436,0.484831866889,0.482784145995,0.579072933458,0.176084992797,0.583249771523,0.219240953504,0.218161178955,0.212885918586,0.487216269588,0.346558844682,0.217836379986,0.200914377374,0.674900200622,0.721026720315,0.380746199062,0.723683770434,1.0,0.433938901429,0.694555133863,0.765136468212,0.729011784963,0.783713963693,0.584918728711,0.652668635181,0.70573027347,0.662756328315,0.622365826237,0.314097039844,0.545175342634,0.65139865247,0.477246126728,0.627111629565,0.767997762378
Crude_protein,-0.0467748803768,0.0696986034819,0.0778787439643,0.0599413798464,0.280120638321,0.0890135893655,0.039061875178,0.271878976545,0.0849389237074,-0.0790986237952,0.100186192474,0.109731963589,-0.0056250120192,-0.00719535013103,-0.00355132621337,0.44395429256,-0.286506646924,0.451356580881,-0.287391649104,-0.288830102626,-0.28630847947,-0.00550252795021,0.212583590598,-0.288887146294,-0.261058955321,0.679822539604,0.712547322656,0.946917826499,0.683948544473,0.433938901429,1.0,0.232130857555,0.691029577693,0.754831537728,0.328366777368,0.776055995206,0.722985127103,0.71902970201,0.760643453057,0.337501034342,0.856488923374,0.650723168034,0.740711373759,0.219879001827,0.721909137794,0.692312691142
DCAD,-0.0475081547419,-0.111057140552,-0.0241016526402,-0.117901188444,0.102227442712,-0.012926657122,0.0980067563268,0.0532120416045,0.156813950602,0.104515792831,0.117947178735,0.219645353294,0.457462393501,0.465952451476,0.458576112417,0.434703799547,0.205413662694,0.438261275775,0.204848613205,0.20604167281,0.197328642522,0.464479591723,0.317269374239,0.203753328208,0.203799467721,0.356001430612,0.426260252013,0.13328303646,0.453417595698,0.694555133863,0.232130857555,1.0,0.543850996093,0.470220883718,0.533820007273,0.463852630446,0.426589572189,0.536647465368,0.499021158741,0.614367784325,0.233803284397,0.267287695753,0.464560125125,0.445180215977,0.310629926924,0.556336842081
Dry_Matter,-0.192730013431,0.0135994321649,0.164930353204,-0.0195495372537,0.239998390294,0.0963338993712,0.17132154751,0.245717530445,0.240305125148,0.0496231247982,0.193215018259,0.275278273204,0.590245690584,0.586880765894,0.585361489358,0.765650947538,0.182684635513,0.779159540755,0.17990579988,0.180152597407,0.179996474301,0.592345420296,0.436110196347,0.180875806329,0.170795996817,0.929157055482,0.979604532765,0.70730145068,0.961703970823,0.765136468212,0.691029577693,0.543850996093,1.0,0.985400074544,0.852255675206,0.922953232288,0.959474887367,0.98479371789,0.963205529669,0.764708058066,0.432150685755,0.807004693578,0.971898117689,0.65424834439,0.907378583825,0.980561667445
EE_Fat,-0.181291668811,0.0267922415065,0.163056396097,-0.00469226904544,0.246243090618,0.104329201292,0.152420460227,0.25793248948,0.212424195828,0.0168772324259,0.18297010954,0.230828819458,0.487717431309,0.483693440973,0.484318760828,0.718584212539,0.106170358281,0.730820940849,0.128783657084,0.128688331407,0.128302029714,0.489247839007,0.399692121235,0.129207397113,0.120617574482,0.955585227235,0.989802590292,0.790623860492,0.976094244307,0.729011784963,0.754831537728,0.470220883718,0.985400074544,1.0,0.800763449509,0.91705703163,0.979350175294,0.968309742476,0.951506888841,0.673098060769,0.464201441271,0.765372853772,0.979661669277,0.55726190646,0.947199923213,0.980328049642
Lignin,-0.239523031811,-0.0448573159819,0.169912478488,-0.084906305889,0.155692789406,0.0486360578229,0.173051698672,0.195582383424,0.247262307019,0.107697517227,0.198026372928,0.275439271229,0.720866328371,0.719517152812,0.717716302617,0.723701433871,0.300122014869,0.730640060963,0.330589817071,0.330330915498,0.330193301926,0.725308872998,0.44174992844,0.331948785557,0.3033131267,0.811520653624,0.82447501801,0.375924924996,0.840360603174,0.783713963693,0.328366777368,0.533820007273,0.852255675206,0.800763449509,1.0,0.627448860528,0.762535953011,0.774438132169,0.712363017302,0.679861900844,0.108951319077,0.613959826083,0.753694548026,0.572345921248,0.740649113286,0.840780982496
