Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r1-p1423,30,31,85,90,78,0.70,NA,0.53,NA,NA,NA,
SF-BE-r1-p1427,30,35,132,112,151,1.01,NA,0.80,NA,NA,NA,
SF-BE-r1-p1431,30,39,133,148,152,1.19,NA,1.15,NA,NA,NA,
SF-BE-r1-p1435,30,43,170,143,168,1.30,NA,1.05,NA,NA,NA,
SF-BE-r1-p1439,30,47,68,62,54,0.70,NA,0.52,NA,NA,NA,
SF-BE-r1-p1443,31,3,214,215,217,0.82,0.59,0.57,40,42,41,
SF-BE-r1-p1447,31,7,198,194,200,0.84,0.74,0.68,22,22,21,
SF-BE-r1-p1451,31,11,320,308,322,1.95,1.92,1.75,18,17,19,
SF-BE-r1-p1455,31,15,174,166,166,0.98,NA,0.82,NA,NA,NA,
SF-BE-r1-p1459,31,19,216,230,218,0.54,0.45,0.42,34,38,44,
SF-BE-r1-p1463,31,23,226,218,242,2.25,NA,1.78,NA,NA,NA,
SF-BE-r1-p1467,31,27,159,149,166,0.88,NA,0.72,NA,NA,NA,
SF-BE-r1-p1471,31,31,142,164,152,1.25,NA,1.00,NA,NA,NA,
SF-BE-r1-p1475,31,35,110,136,122,0.79,NA,0.65,NA,NA,NA,
SF-BE-r1-p1479,31,39,64,73,66,0.37,NA,0.29,NA,NA,NA,
SF-BE-r1-p1483,31,43,69,62,74,0.35,NA,0.28,NA,NA,NA,
SF-BE-r1-p1487,31,47,164,169,185,0.86,NA,0.79,NA,NA,NA,
SF-BE-r1-p1491,32,3,116,119,131,0.49,0.42,0.38,23,20,19,
SF-BE-r1-p1495,32,7,196,199,214,0.87,NA,0.74,NA,NA,NA,
SF-BE-r1-p1499,32,11,199,196,197,0.46,0.39,0.33,16,15,12,
SF-BE-r1-p1503,32,15,220,198,194,1.27,NA,1.02,NA,NA,NA,
SF-BE-r1-p1507,32,19,272,234,224,1.03,NA,0.88,NA,NA,NA,
SF-BE-r1-p1511,32,23,135,140,133,0.71,NA,0.55,NA,NA,NA,
SF-BE-r1-p1515,32,27,128,115,136,1.27,NA,0.99,NA,NA,NA,
SF-BE-r1-p1519,32,31,76,74,75,0.61,NA,0.44,NA,NA,NA,
SF-BE-r1-p1523,32,35,70,73,59,0.54,NA,0.45,NA,NA,NA,
SF-BE-r1-p1527,32,39,185,152,131,1.18,NA,1.02,NA,NA,NA,
SF-BE-r1-p1531,32,43,108,96,94,0.79,NA,0.65,NA,NA,NA,
SF-BE-r1-p1535,32,47,73,68,58,0.34,NA,0.28,NA,NA,NA,
SF-BE-r2-p1539,1,51,140,177,181,1.55,NA,1.33,NA,NA,NA,
SF-BE-r2-p1543,1,55,114,135,162,1.09,NA,0.93,NA,NA,NA,
SF-BE-r2-p1547,1,59,133,139,152,0.67,NA,0.55,NA,NA,NA,
SF-BE-r2-p1551,1,63,157,171,219,1.76,NA,1.48,NA,NA,NA,
SF-BE-r2-p1555,1,67,125,132,124,0.61,0.57,0.48,18,16,18,
SF-BE-r2-p1559,1,71,74,55,56,0.50,NA,0.36,NA,NA,NA,
SF-BE-r2-p1563,1,75,95,129,107,1.20,NA,0.95,NA,NA,NA,
SF-BE-r2-p1567,1,79,158,141,184,2.33,NA,1.97,NA,NA,NA,
SF-BE-r2-p1571,2,51,117,122,121,0.91,NA,0.71,NA,NA,NA,
SF-BE-r2-p1575,2,55,157,146,142,0.81,NA,0.67,NA,NA,NA,
SF-BE-r2-p1579,2,59,156,155,182,0.59,NA,0.48,NA,NA,NA,
SF-BE-r2-p1583,2,63,203,222,210,0.85,0.64,0.57,45,46,31,
SF-BE-r2-p1587,2,67,58,67,68,0.47,NA,0.37,NA,NA,NA,
SF-BE-r2-p1591,2,71,115,118,107,0.83,NA,0.67,NA,NA,NA,
SF-BE-r2-p1595,2,75,72,75,74,0.74,NA,0.56,NA,NA,NA,
SF-BE-r2-p1599,2,79,137,157,150,0.81,NA,0.64,NA,NA,NA,
SF-BE-r2-p1603,3,51,120,178,119,0.59,NA,0.49,NA,NA,NA,
SF-BE-r2-p1607,3,55,170,176,174,2.34,NA,1.87,NA,NA,NA,
SF-BE-r2-p1611,3,59,169,139,189,1.38,NA,1.10,NA,NA,NA,
SF-BE-r2-p1615,3,63,88,107,108,0.70,NA,0.57,NA,NA,NA,
SF-BE-r2-p1619,3,67,185,173,187,0.72,NA,0.63,NA,NA,NA,
SF-BE-r2-p1623,3,71,98,101,105,0.55,NA,0.46,NA,NA,NA,
SF-BE-r2-p1627,3,75,75,89,76,0.79,NA,0.61,NA,NA,NA,
SF-BE-r2-p1631,3,79,124,107,96,1.18,NA,0.95,NA,NA,NA,
SF-BE-r2-p1635,4,51,167,157,181,1.04,NA,0.78,NA,NA,NA,
SF-BE-r2-p1639,4,55,80,87,79,0.66,NA,0.51,NA,NA,NA,
SF-BE-r2-p1643,4,59,115,111,120,1.41,NA,1.15,NA,NA,NA,
