Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0323,41.48,0.63,10.19,68.76,2.52,7.1,12.83,92.91,0.98,6.13,29.15,75.34,57.77,51.85,17.28,55.97,0.76,67.69,11.75,35.35,29.77
SF16-BE-r1-p0327,40.65,0.68,13.79,66.17,1.34,11.57,19.02,91.25,1.07,2.03,37.81,79.68,63.69,61.76,18,69.61,0.71,71.71,11.58,38.62,27.24
SF16-BE-r1-p0331,34.68,0.55,12.69,60.38,3.95,11.01,24.8,91.97,0.98,4.84,33.41,68.29,61.2,59.85,25.05,126.12,0.62,62.94,14.7,29.84,28.04
SF16-BE-r1-p0335,40.57,0.77,12.23,66,2.08,9.09,7.21,90.39,1.07,4.07,35.04,83.61,61.85,59.53,19.02,24.23,0.54,72.66,13.5,36.5,27.44
SF16-BE-r1-p0339,39.19,0.76,8.8,64.52,2.9,6.58,16.84,90.36,0.96,6.7,28.8,75.87,57.78,53.71,25.72,6.63,0.23,63.17,16.71,32.49,27.38
SF16-BE-r1-p0347,34.77,0.64,3.69,56.09,2.86,6.77,16.65,90.42,0.89,5.31,37.15,74.01,62.98,58.22,28.88,46.11,1.31,68.02,24.2,29.46,23.53
SF16-BE-r1-p0355,37.14,0.51,6.79,62.32,3.49,6.97,21.21,91.59,0.93,6.2,30.19,66.04,59.18,54.41,27.59,66.65,0.57,62.24,17.58,30.94,27.42
SF16-BE-r1-p0359,38.8,0.56,9.68,64.73,3.6,7.84,19.63,91.79,0.95,5.46,30.18,68.56,59.31,54.73,22.71,61,0.5,64.59,16.2,33.34,27.93
SF16-BE-r1-p0363,36.82,0.49,6,62.48,2.11,5.41,27.01,91.38,0.81,6.41,30.71,70.45,60.43,53.82,29.19,26.78,0.24,65.22,18.01,30.41,26.34
SF16-BE-r1-p0367,37.37,0.66,9.15,60.47,4.04,11.06,22.06,92.33,0.91,6.05,29.78,69.35,58.69,55.21,26.56,91.63,0.58,58.95,14.12,31.32,28.37
SF16-BE-r1-p0371,39.69,0.55,9.28,68.87,2.62,7.77,28.27,91.63,1,4.59,31.22,82.07,60.07,54.21,19.1,59.22,-0.16,70.28,7.8,35.1,31.77
