PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r1-p0059,PI_569244,2,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0059,ANTHESIS
SF-BE-r1-p0059,PI_569244,2,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0059,MATURITY
SF-BE-r1-p0059,PI_569244,2,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0059,
SF-BE-r1-p0061,PI_586541,2,13,1 of 4,,,SF-BE-r1-p0061,
SF-BE-r1-p0063,PI_586541,2,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0063,ANTHESIS
SF-BE-r1-p0063,PI_586541,2,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0063,MATURITY
SF-BE-r1-p0063,PI_586541,2,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0063,
SF-BE-r1-p0065,PI_562994,2,17,1 of 4,,,SF-BE-r1-p0065,
SF-BE-r1-p0067,PI_562994,2,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0067,ANTHESIS
SF-BE-r1-p0067,PI_562994,2,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0067,MATURITY
SF-BE-r1-p0067,PI_562994,2,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0067,
SF-BE-r1-p0069,PI_506122,2,21,1 of 4,,,SF-BE-r1-p0069,
SF-BE-r1-p0071,PI_506122,2,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0071,ANTHESIS
SF-BE-r1-p0071,PI_506122,2,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0071,MATURITY
SF-BE-r1-p0071,PI_506122,2,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0071,
SF-BE-r1-p0073,PI_152730,2,25,1 of 4,,,SF-BE-r1-p0073,
SF-BE-r1-p0075,PI_152730,2,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0075,ANTHESIS
SF-BE-r1-p0075,PI_152730,2,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0075,MATURITY
SF-BE-r1-p0075,PI_152730,2,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0075,
SF-BE-r1-p0077,PI_585577,2,29,1 of 4,,,SF-BE-r1-p0077,
SF-BE-r1-p0079,PI_585577,2,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0079,ANTHESIS
SF-BE-r1-p0079,PI_585577,2,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0079,MATURITY
SF-BE-r1-p0079,PI_585577,2,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0079,
SF-BE-r1-p0081,PI_643016,2,33,1 of 4,,,SF-BE-r1-p0081,
SF-BE-r1-p0083,PI_643016,2,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0083,ANTHESIS
SF-BE-r1-p0083,PI_643016,2,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0083,MATURITY
SF-BE-r1-p0083,PI_643016,2,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0083,
SF-BE-r1-p0085,PI_570106,2,37,1 of 4,,,SF-BE-r1-p0085,
SF-BE-r1-p0087,PI_570106,2,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0087,ANTHESIS
SF-BE-r1-p0087,PI_570106,2,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0087,MATURITY
SF-BE-r1-p0087,PI_570106,2,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0087,
SF-BE-r1-p0089,PI_196049,2,41,1 of 4,,,SF-BE-r1-p0089,
SF-BE-r1-p0091,PI_196049,2,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0091,ANTHESIS
SF-BE-r1-p0091,PI_196049,2,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0091,MATURITY
SF-BE-r1-p0091,PI_196049,2,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0091,
SF-BE-r1-p0093,PI_570042,2,45,1 of 4,,,SF-BE-r1-p0093,
SF-BE-r1-p0095,PI_570042,2,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0095,ANTHESIS
SF-BE-r1-p0095,PI_570042,2,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0095,MATURITY
SF-BE-r1-p0095,PI_570042,2,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0095,
SF-BE-r2-p1569,PI_569418,2,49,1 of 4,,,SF-BE-r2-p1569,
SF-BE-r2-p1571,PI_569418,2,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1571,ANTHESIS
